Participant,Concurrent_Articulation,State,Deviant,pCorrect
26,With_Concurrent_Articulation,SS,With_Deviant,0.667
26,With_Concurrent_Articulation,CS,No_Deviant,0.333
26,With_Concurrent_Articulation,CS,With_Deviant,0.500
27,No_Concurrent_Articulation,SS,No_Deviant,0.333
27,No_Concurrent_Articulation,SS,With_Deviant,0.333
27,No_Concurrent_Articulation,CS,No_Deviant,0.333
27,No_Concurrent_Articulation,CS,With_Deviant,0.333
27,With_Concurrent_Articulation,SS,No_Deviant,0.500
27,With_Concurrent_Articulation,SS,With_Deviant,0.500
27,With_Concurrent_Articulation,CS,No_Deviant,0.500
27,With_Concurrent_Articulation,CS,With_Deviant,0.667
28,No_Concurrent_Articulation,SS,No_Deviant,0.500
28,No_Concurrent_Articulation,SS,With_Deviant,0.333
28,No_Concurrent_Articulation,CS,No_Deviant,0.333
28,No_Concurrent_Articulation,CS,With_Deviant,0.500
28,With_Concurrent_Articulation,SS,No_Deviant,0.500
28,With_Concurrent_Articulation,SS,With_Deviant,0.500
28,With_Concurrent_Articulation,CS,No_Deviant,0.500
28,With_Concurrent_Articulation,CS,With_Deviant,0.667
29,No_Concurrent_Articulation,SS,No_Deviant,1.000
29,No_Concurrent_Articulation,SS,With_Deviant,0.833
29,No_Concurrent_Articulation,CS,No_Deviant,0.833
29,No_Concurrent_Articulation,CS,With_Deviant,0.833
29,With_Concurrent_Articulation,SS,No_Deviant,1.000
29,With_Concurrent_Articulation,SS,With_Deviant,0.833
29,With_Concurrent_Articulation,CS,No_Deviant,0.667
29,With_Concurrent_Articulation,CS,With_Deviant,1.000
30,No_Concurrent_Articulation,SS,No_Deviant,0.833
30,No_Concurrent_Articulation,SS,With_Deviant,0.667
30,No_Concurrent_Articulation,CS,No_Deviant,0.667
30,No_Concurrent_Articulation,CS,With_Deviant,0.500
30,With_Concurrent_Articulation,SS,No_Deviant,0.667
30,With_Concurrent_Articulation,SS,With_Deviant,0.667
30,With_Concurrent_Articulation,CS,No_Deviant,0.833
30,With_Concurrent_Articulation,CS,With_Deviant,0.833
31,No_Concurrent_Articulation,SS,No_Deviant,0.500
31,No_Concurrent_Articulation,SS,With_Deviant,0.667
31,No_Concurrent_Articulation,CS,No_Deviant,0.833
31,No_Concurrent_Articulation,CS,With_Deviant,0.667
31,With_Concurrent_Articulation,SS,No_Deviant,0.667
31,With_Concurrent_Articulation,SS,With_Deviant,0.500
31,With_Concurrent_Articulation,CS,No_Deviant,0.500
31,With_Concurrent_Articulation,CS,With_Deviant,0.833
32,No_Concurrent_Articulation,SS,No_Deviant,0.333
32,No_Concurrent_Articulation,SS,With_Deviant,0.000
32,No_Concurrent_Articulation,CS,No_Deviant,0.333
32,No_Concurrent_Articulation,CS,With_Deviant,0.167
32,With_Concurrent_Articulation,SS,No_Deviant,0.167
32,With_Concurrent_Articulation,SS,With_Deviant,0.333
32,With_Concurrent_Articulation,CS,No_Deviant,0.333
32,With_Concurrent_Articulation,CS,With_Deviant,0.167
